address,balance
"0x2916e2cd96d1c522930a07e55aaad0a634656171",5717195.608279778622090816
"0xff75e131c711e4310c045317779d39b3b4f718c4",2107415.673910486511886120
"0xff96f5a883667a96ed2dd8b6220861a47795dab0",1208094.766424452885985374
"0xe56e1c6213de37a32e79407bce5c4569aaa6971d",1063548.617761582601815462
"0xf660384ee094bc71d79de51b31c600cf41b01e6d",860287.700358196394518018
"0x42519c03009d4148179178178980a73006837bd4",623256.345310000004246831
"0x71d1567aecb9adb1bc41f1b91525344d0fafdf93",529683.262665133108384907
"0xea7cff4c4238ffcdd9a359fccaf4813c5dc9e0cf",516465.667403964209370315
"0xf42d88b0b95a6495af8d5044a64a6fdd67bcbffb",263720.677864143566694111
"0x33f4d8e712772133fcdd7402d74b9ebd762b423e",179607.978962023247731850
"0xfac9dd5194098461b627554347f83d5431fb30e2",117273.862953478659619577
"0x2077b303c43a80eac75b5e1f19939dde54ef71a5",77521.500729618055629544
"0x96e2cd42dba2fe7102aca8887a663a0a1f18d293",77235.079779107050853781
"0xeb2fc218de5beb0367222572c63ead98ee3229d7",74909.845870000004651956
"0x46143b38e1418ff86e2fa938c588b2edfb2ed4c1",64638.845499336261127610
"0x2ee03601d57a79fb2436f3c6666ad1e315f84fd4",52389.977628401298716199
"0x41148f77fbb3615d52fd49c927523efb719a3288",51856.063422280567465350
"0x0375833bc5ac6a8f44de278bba8666ea372d9642",38340.020240895202732645
"0x65ae75ef8c5e7fdde20eecdb14ec1f7a53258f53",37051.415869999997084960
"0x5ce561e048d2cd64523d6316228f97bd2537f92f",30330.018566685354016954
"0x34706d5c391ffb326801bdeced11f2df9b93b30d",24957.021413479160401039
"0x41cb654d1f47913acab158a8199191d160dabe4a",19335.244045817362348316
"0x6cce9bae11b01e9fff30dbe790f64b459a614b0f",1812.000000000000000000
"0x019ffef8c22df637d42aa572389bef4e105abe75",1382.067356089863778834
"0x7292667c8a55bd56d496d2edcb5cfb37d554f943",926.604500897933348824
"0xfee73611726fd31a50e297473dff75e2aead8c4d",271.782526803999246567
"0x6fd69ae1f7d2b2d537814156744786344c37348b",222.534826646093080171
"0xd082cc50db08b028fc12726861d5f260a786777e",173.889771361673609817
"0x72c216e95c678078372bfe191b72566648a62c1c",173.497232174692527451
"0x89cbf0cee6787fde2d56767b213f52470b5cde8c",167.278611836049947215
"0xff4249e7097557c080e0ff571501881d692fd77d",167.155761609013268298
"0x6dfdca1107c5af4b92948625105e1e87ba9b21b4",92.824761541530463660
"0x0fd8f89f1316cfbdd776a3687fde406ed60be14d",90.181456085344805729
"0x8596b013f3334152c7bc82461570e82ae55f97ca",17.600000000000001421
"0x3c80006af6e3725218d14b00bcd2d4e987f701ed",5.500000000000000000
"0xc0e432ab9e478156f9d30701ac52fa8ffea9e102",4.923488781678305948
"0x4144f2f657da3eaff107b77b02964f0afca213b8",4.599999999999999645
"0x3513798e7596c3e07df7d00850ea82e1ba1ea280",3.649999999999999911
"0x4deaa5cdd65bcc46fa7a906f396161555e54f38b",1.525329742003619371
"0x37ccefd24df80c119449286a1a29ae686d9da73c",0.984692789018788983
"0xd811f3803bee46fdce64e680aa29df3a4382e7e3",0.984692789018788983
"0xb48e8da63c2afc5633702b7acf4bde830c1de48b",0.984692789018788983
"0xb4964e1eca55db36a94e8aeffbfbab48529a2f6c",0.617161766004725276
"0xb1fb41c2a8c69536715037cb952d71828e2152ba",0.500228816059408166
"0xaa9c3a194c9e78085260dfc7eacfef51653412bf",0.139554286291671409
"0x280d9073b1f896411afeae2791f4354ff07bd951",0.110965012764187049
"0x92d9802efcd0485876ddc13c16cea67e6ad5eb35",0.081193568705806782
